grid_model_index	model_label	mass_factor	envelope_dust_mass_msun	envelope_amax_um	envelope_size_exponent	execution	fresh_model_index	temperature_parameter	temperature_parameter_sha256	rt_parameter	rt_parameter_sha256	upstream_model_label
20	m2p25_a0p60_q3p25_i0p05	2.25	0.000225	0.60	3.25	fresh	17	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p25_i0p05/disk_envelope_m2p25_a0p60_q3p25_i0p05_temperature.para	4be2f7ca6bf98d78936997f6f6c444dc4053c069cd3f1b72a733299f1fd74183	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p25_i0p05/disk_envelope_m2p25_a0p60_q3p25_i0p05_rt.para	c190261d595bc9e2ab1ae0538021c9a40b5200bc077cf07cb9e0618e6f459cdc	
21	m2p25_a0p60_q3p50_i0p05	2.25	0.000225	0.60	3.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p50_i0p05/disk_envelope_m2p25_a0p60_q3p50_i0p05_temperature.para	0e15b0b98c76994e754764d9576e6931c8fbdac2ef8e8819b7524a7bfbe85046	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p50_i0p05/disk_envelope_m2p25_a0p60_q3p50_i0p05_rt.para	da60f8ea014931f81d63e497ccfe27d2099d33324e54921315b44e1f698ec8eb	m2p25_a0p60_i0p05
22	m2p25_a0p60_q3p75_i0p05	2.25	0.000225	0.60	3.75	fresh	18	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p75_i0p05/disk_envelope_m2p25_a0p60_q3p75_i0p05_temperature.para	5ea0cb84cc653119667522e49597b608aaa44e423c91c7149e7b39d7c02c4bbe	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q3p75_i0p05/disk_envelope_m2p25_a0p60_q3p75_i0p05_rt.para	a9cf00f52c71a61203d4df1a7beb77a01c6b05be6166562957ab8443d6c3cbae	
23	m2p25_a0p60_q4p00_i0p05	2.25	0.000225	0.60	4.00	fresh	19	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q4p00_i0p05/disk_envelope_m2p25_a0p60_q4p00_i0p05_temperature.para	308967258717c3292ddd4bef479bf61ec96e8a300cd81a38ed56b3989d1048c3	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p25_a0p60_q4p00_i0p05/disk_envelope_m2p25_a0p60_q4p00_i0p05_rt.para	8eceb67e99fa0e8fa74125ce644daa4c4b1e6c50f9160e8508b48a205f9e5103	
24	m2p50_a0p40_q3p25_i0p05	2.50	0.00025	0.40	3.25	fresh	20	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p25_i0p05/disk_envelope_m2p50_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p25_i0p05/disk_envelope_m2p50_a0p40_q3p25_i0p05_rt.para	b3ebb54335858536f9695d1472e4aaa2ec9dc03a950d4932da76168c66570f50	
25	m2p50_a0p40_q3p50_i0p05	2.50	0.00025	0.40	3.50	fresh	21	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p50_i0p05/disk_envelope_m2p50_a0p40_q3p50_i0p05_temperature.para	41de183f17cd90987aebc6bf5064d12fb3218b48086e52471be15d58bb75e637	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p50_i0p05/disk_envelope_m2p50_a0p40_q3p50_i0p05_rt.para	3ff7445ba2dcf5b34d6f00342676dc8e0e40d8d652222d16b6d0dc1bf655e424	
26	m2p50_a0p40_q3p75_i0p05	2.50	0.00025	0.40	3.75	fresh	22	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p75_i0p05/disk_envelope_m2p50_a0p40_q3p75_i0p05_temperature.para	f0d0ca947cda67056f9f9d5889db13fa0d7eec827d082dbb86277f1473adc8e2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q3p75_i0p05/disk_envelope_m2p50_a0p40_q3p75_i0p05_rt.para	b8106acf297927d2459e37220103c0c298237a9e1acf558f26757e9d014ecf7f	
27	m2p50_a0p40_q4p00_i0p05	2.50	0.00025	0.40	4.00	fresh	23	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q4p00_i0p05/disk_envelope_m2p50_a0p40_q4p00_i0p05_temperature.para	4c7a61db3154555e6c4b238a06b2fcba84f87df3132d8938be467fc53d9c646b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p40_q4p00_i0p05/disk_envelope_m2p50_a0p40_q4p00_i0p05_rt.para	19e990f6f371af8f4e103bb49121c29e6f4c4cf795711591189a04ab368b708e	
28	m2p50_a0p50_q3p25_i0p05	2.50	0.00025	0.50	3.25	fresh	24	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p25_i0p05/disk_envelope_m2p50_a0p50_q3p25_i0p05_temperature.para	abc349432671636cb1c4bf8f165e5589fc0cd71a707fe62e0f71f044b1bd6ea7	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p25_i0p05/disk_envelope_m2p50_a0p50_q3p25_i0p05_rt.para	c16be213ac17d959e7e731b4a622fcdbe262d8c3e7f3fbebb8c0ff5ab8c9faec	
29	m2p50_a0p50_q3p50_i0p05	2.50	0.00025	0.50	3.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p50_i0p05/disk_envelope_m2p50_a0p50_q3p50_i0p05_temperature.para	26dc7739700575c0e2ed0ad9a5acd53d4eae15ec06d1531ba13711aa7fe09e9a	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p50_i0p05/disk_envelope_m2p50_a0p50_q3p50_i0p05_rt.para	8d55db51f9ebd14d5e6f729a8aa08a3c84de43fe46b179d2a567098a95e1e602	m2p50_a0p50_i0p05
30	m2p50_a0p50_q3p75_i0p05	2.50	0.00025	0.50	3.75	fresh	25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p75_i0p05/disk_envelope_m2p50_a0p50_q3p75_i0p05_temperature.para	51089db421a515cb078ea5969aabe63adeabc678e6047c521f6b1dc26c69f3e0	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q3p75_i0p05/disk_envelope_m2p50_a0p50_q3p75_i0p05_rt.para	81b2f3661254b0058ea23dd7f0ae8d9251680aca5acebaf4654d36cbdbadaf1e	
31	m2p50_a0p50_q4p00_i0p05	2.50	0.00025	0.50	4.00	fresh	26	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q4p00_i0p05/disk_envelope_m2p50_a0p50_q4p00_i0p05_temperature.para	910f2b9592fc07375ecefde97d8ec02078b501f9f6b02e4b80ee8c43a297f2fe	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p50_q4p00_i0p05/disk_envelope_m2p50_a0p50_q4p00_i0p05_rt.para	88cbf98cbe10d9aaa3747f73880097fbc7bf5bdd4feb42372adc6bfade232e5a	
32	m2p50_a0p60_q3p25_i0p05	2.50	0.00025	0.60	3.25	fresh	27	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p25_i0p05/disk_envelope_m2p50_a0p60_q3p25_i0p05_temperature.para	5d383554a295448ab9dff0221f50b46375b5f555787c8b4bf052cf5a6d68fbbc	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p25_i0p05/disk_envelope_m2p50_a0p60_q3p25_i0p05_rt.para	a6c20ce0f0a9d5915b50822cf9af5d2301203637367c9189cfb2cdfc6795867e	
33	m2p50_a0p60_q3p50_i0p05	2.50	0.00025	0.60	3.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p50_i0p05/disk_envelope_m2p50_a0p60_q3p50_i0p05_temperature.para	f5749d8cfaeefad34926080739bc50494623d9488c1ab9d6df3524ba058269e4	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p50_i0p05/disk_envelope_m2p50_a0p60_q3p50_i0p05_rt.para	933474319241fde2c7a8de01d9d4554c5fcd0e05b7f66fa56d9f7cb1cc2a8d1e	m2p50_a0p60_i0p05
34	m2p50_a0p60_q3p75_i0p05	2.50	0.00025	0.60	3.75	fresh	28	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p75_i0p05/disk_envelope_m2p50_a0p60_q3p75_i0p05_temperature.para	ea4b41cc282ccf39cc2c1b837e33bfb16b93509a7e500374a6066786fdfec71a	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q3p75_i0p05/disk_envelope_m2p50_a0p60_q3p75_i0p05_rt.para	e0b0efa7f4e805781683f29c78b70104557618cf83424ffd2a84c548487275dd	
35	m2p50_a0p60_q4p00_i0p05	2.50	0.00025	0.60	4.00	fresh	29	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q4p00_i0p05/disk_envelope_m2p50_a0p60_q4p00_i0p05_temperature.para	6166abdbcf7ce803c48d36fc5e3a17ca09dc4117f80dc8c71b61a12cad9e5cfa	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p50_a0p60_q4p00_i0p05/disk_envelope_m2p50_a0p60_q4p00_i0p05_rt.para	dd2231f580a85f33950ffa32b4b67ceb883fdf8dacc75c24b54da7819faea527	
