lsf_node_global_index	parent_kind	parent_id	target_wavelength_um	lsf_node_index	lsf_node_wavelength_um	lsf_quadrature_weight	lsf_profile	target_resolving_power_R	model_input_representation	conversion_before_aggregation	aggregated_representation	source_segment	native_run_id	node_crosses_stitch_seam	stitch_seam_restriction_applied	scored_directly
12	continuum_support	h2o_continuum_blue_q80	2.649991809092044	2	2.649991809092044	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
13	continuum_support	h2o_continuum_blue_q80	2.649991809092044	3	2.6506275316186576	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
14	continuum_support	h2o_continuum_blue_q80	2.649991809092044	4	2.6513317665938914	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
15	continuum_support	h2o_continuum_red_q20	3.549182441347746	0	3.5473887187749509	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
16	continuum_support	h2o_continuum_red_q20	3.549182441347746	1	3.5483312107609843	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
17	continuum_support	h2o_continuum_red_q20	3.549182441347746	2	3.549182441347746	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
18	continuum_support	h2o_continuum_red_q20	3.549182441347746	3	3.5500338761413497	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
19	continuum_support	h2o_continuum_red_q20	3.549182441347746	4	3.550977070909012	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
20	continuum_support	h2o_continuum_red_q50	3.5744323010028149	0	3.5726258173944934	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
21	continuum_support	h2o_continuum_red_q50	3.5744323010028149	1	3.5735750145276324	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
22	continuum_support	h2o_continuum_red_q50	3.5744323010028149	2	3.5744323010028149	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
23	continuum_support	h2o_continuum_red_q50	3.5744323010028149	3	3.5752897931376233	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
24	continuum_support	h2o_continuum_red_q50	3.5744323010028149	4	3.5762396980521727	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
25	continuum_support	h2o_continuum_red_q80	3.5984826141459596	0	3.596663975741349	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
26	continuum_support	h2o_continuum_red_q80	3.5984826141459596	1	3.5976195594797904	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
27	continuum_support	h2o_continuum_red_q80	3.5984826141459596	2	3.5984826141459596	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
28	continuum_support	h2o_continuum_red_q80	3.5984826141459596	3	3.5993458758555206	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
29	continuum_support	h2o_continuum_red_q80	3.5984826141459596	4	3.6003021721376292	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G395H	G395H_run00	False	False	False
