wavelength_um,stitch_normalized_raw_aperture_fnu_Jy,random_error_conservative_proxy_Jy,random_error_diagonal_operator_Jy,random_error_conservative_covariance_upper_Jy,source_segment,native_run_id,stitch_scale_applied,dense_unweighted_continuum_Jy,linear_continuum_formal_error_Jy,dense_unweighted_optical_depth,optical_depth_random_error_flux_only,optical_depth_error_with_continuum_formal,canonical_dense_continuum_fit_point,inside_integration_band,observable,mcfost_east_arcsec,mcfost_north_arcsec,aperture_radius_arcsec,background_subtracted,aperture_corrected,observed_flux_representation,random_error_source_column,random_error_is_raw_operator_proxy,relative_gain_sensitivity_segment,dense_profile_row_zero_based,canonical_sparse_huber_continuum_Jy,canonical_sparse_huber_optical_depth
2.5610684924222364,0.096255521087830462,8.5432569976226554e-05,5.4841760514480241e-05,8.5432569976226554e-05,G235H,G235H_run01,1,0.096709094735357284,0.00031996256093131688,0.0047011156003029051,0.00088756020445073208,0.0034254884344008273,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,30,0.095307900055920228,-0.0098936295455260836
2.5614282476635446,0.096821167147450121,8.5657083072472265e-05,5.5685775674101433e-05,8.5657083072472265e-05,G235H,G235H_run01,1,0.096768612743542259,0.00031983376712978287,-0.00054294607110461903,0.00088469376682914866,0.003421495340662219,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,31,0.095369941370328171,-0.015102190426073249
2.5617880534399453,0.097759273144442549,8.4840428231328321e-05,5.5677704942410878e-05,8.4840428231328321e-05,G235H,G235H_run01,1,0.096828139112267134,0.00031970505906770579,-0.0095704149458260158,0.00086785044019275582,0.0034139280962213934,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,32,0.095431991399726815,-0.024094198433533259
2.5621479097585373,0.097342642798124421,8.1718654465735477e-05,5.4465764333415449e-05,8.1718654465735477e-05,G235H,G235H_run01,1,0.096887673842706343,0.00031957643691179013,-0.0046848483328160474,0.00083949492346544364,0.0034035774637040444,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,33,0.095494050145340306,-0.019173210809880718
2.5625078166264204,0.096346630516189469,7.7274379165532094e-05,5.281882954039511e-05,7.7274379165532094e-05,G235H,G235H_run01,1,0.096947216936034447,0.00031944790082896068,0.0062142521398753829,0.00080204547633398976,0.0033912778728856113,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,34,0.095556117608393026,-0.0082387291163334726
2.5628677740506953,0.096890423283430449,7.696643743689253e-05,5.2660794295412945e-05,7.696643743689253e-05,G235H,G235H_run01,1,0.097006768393426243,0.00031931945098636277,0.0012000702326080276,0.00079436578795558641,0.0033862161846933002,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,35,0.095618193790109565,-0.013217569525849716
2.5632277820384637,0.099409380432096003,8.132945792412396e-05,5.4607793812102552e-05,8.132945792412396e-05,G235H,G235H_run01,1,0.097066328216056597,0.00031919108755136213,-0.02385193889092296,0.0008181265950015454,0.00338862537814118,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,36,0.095680278691714638,-0.038234276808200927
2.5635878405968286,0.1015217663216995,8.5399663648049574e-05,5.6468602070712156e-05,8.5399663648049574e-05,G235H,G235H_run01,1,0.097125896405100651,0.00031906281069154488,-0.044265183969314163,0.00084119560506303026,0.0033910355242660105,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,37,0.095742372314433152,-0.058612259635599524
2.563947949732893,0.10156084408065236,8.6448438587576748e-05,5.6030051669973873e-05,8.6448438587576748e-05,G235H,G235H_run01,1,0.097185472961733493,0.00031893462057471791,-0.044036822783819728,0.00085119850440515822,0.003390304553093147,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,38,0.095804474659490074,-0.058348675723062099
2.5643081094537621,0.10144956952159909,8.8707930134960904e-05,5.6762398647689305e-05,8.8707930134960904e-05,G235H,G235H_run01,1,0.097245057887130656,0.00031880651736890811,-0.042327660440120596,0.0008744042045055161,0.0033929892382279147,True,False,stellar_center_raw_0p35_arcsec_stitch_normalized,0,0,0.34999999999999998,False,False,F_nu_Jy,error_spectral_covariance_Jy_from_provider_background_subtracted_extraction,True,G235H,39,0.095866585728110715,-0.056604330110182351
